Features,Shap Values
REFUSED_HOUR_APPR_PROCESS_START_MEAN,0.004347402930351112
APPROVED_AMT_APPLICATION_MEAN,0.00429671757117855
REFUSED_HOUR_APPR_PROCESS_START_MIN,0.004223027848594674
PREV_NAME_GOODS_CATEGORY_AudioVideo_MEAN,0.004218254653514285
APARTMENTS_MODE,0.004105811162718517
APPROVED_AMT_APPLICATION_MAX,0.004103418881957882
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.004098908150930046
CC_CNT_DRAWINGS_CURRENT_MEAN,0.004087897629219301
CC_CNT_INSTALMENT_MATURE_CUM_MIN,0.004064557118392146
PREV_CHANNEL_TYPE_Countrywide_MEAN,0.004047642677152985
PREV_NAME_PORTFOLIO_Cash_MEAN,0.004035691047626968
CC_CNT_DRAWINGS_POS_CURRENT_MAX,0.004009595101045264
PREV_NAME_SELLER_INDUSTRY_Autotechnology_MEAN,0.003994114805219699
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,0.003992787710991369
CC_AMT_INST_MIN_REGULARITY_VAR,0.003984201031342533
BASEMENTAREA_AVG,0.003981405742797524
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,0.003963352884700786
REFUSED_AMT_ANNUITY_MIN,0.003941624088782876
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,0.003931880101479565
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,0.003910946590163599
ENTRANCES_MODE,0.0038350619259949425
PREV_CHANNEL_TYPE_RegionalLocal_MEAN,0.0038220174274452676
INSTAL_PAYMENT_DIFF_VAR,0.003815166770477537
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,0.0038052124956739776
PREV_PRODUCT_COMBINATION_CardStreet_MEAN,0.003780053964419674
PREV_PRODUCT_COMBINATION_POShouseholdwithoutinterest_MEAN,0.0037190914721295194
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,0.0037054632082329044
PREV_PRODUCT_COMBINATION_POSmobilewithinterest_MEAN,0.00368324447266438
PREV_NAME_TYPE_SUITE_Other_B_MEAN,0.0036741721438266124
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0.003649682410052793
BURO_CREDIT_ACTIVE_Baddebt_MEAN,0.003642424275526803
BURO_STATUS_3_MEAN_MEAN,0.0036249219823492823
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0.003588430289044831
CC_AMT_DRAWINGS_CURRENT_MEAN,0.003586234907706637
CC_AMT_PAYMENT_CURRENT_VAR,0.0035064694890761593
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.003504693512582649
PREV_NAME_PRODUCT_TYPE_xsell_MEAN,0.0035019507877729994
PREV_AMT_GOODS_PRICE_MAX,0.0034774604950287284
ORGANIZATION_TYPE_Medicine,0.003434746518284714
NAME_FAMILY_STATUS_Widow,0.0034254170891889297
PREV_CHANNEL_TYPE_Creditandcashoffices_MEAN,0.003408772652598024
POS_NAME_CONTRACT_STATUS_Signed_MEAN,0.0033936006537412786
OCCUPATION_TYPE_Highskilltechstaff,0.003359580080545264
ACTIVE_AMT_ANNUITY_MEAN,0.0033468441646483543
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0.0033177045101629907
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,0.0032686207926363553
PREV_CODE_REJECT_REASON_XNA_MEAN,0.0032495711564731094
LANDAREA_AVG,0.003244969006349168
REFUSED_AMT_GOODS_PRICE_MIN,0.0032138856998113214
BASEMENTAREA_MODE,0.003204176599437242
PREV_NAME_GOODS_CATEGORY_ConstructionMaterials_MEAN,0.0032002516496024446
FONDKAPREMONT_MODE_orgspecaccount,0.00319874840937861
REFUSED_APP_CREDIT_PERC_MIN,0.0031950508640568804
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.0031909806435175044
LIVINGAPARTMENTS_AVG,0.003125242432977343
CC_CNT_DRAWINGS_CURRENT_SUM,0.003097990596914636
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,0.003090547703675444
POS_SK_DPD_MAX,0.003070735309233179
ORGANIZATION_TYPE_Military,0.0030511846777602643
TOTALAREA_MODE,0.0030496752270616962
PREV_NAME_TYPE_SUITE_Spousepartner_MEAN,0.0030281500723586623
NONLIVINGAREA_AVG,0.0029968470509947067
POS_SK_DPD_MEAN,0.0029879797377500793
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,0.002963938141048529
PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,0.002961483068955551
NONLIVINGAPARTMENTS_AVG,0.0029490754306526978
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,0.0029428901149152727
PREV_PRODUCT_COMBINATION_CashStreetmiddle_MEAN,0.0029424701449911775
REFUSED_DAYS_DECISION_MIN,0.0029282730443247694
REFUSED_APP_CREDIT_PERC_MAX,0.0029040221046511563
REFUSED_AMT_CREDIT_MAX,0.0029015692631406322
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,0.002894027100701297
BURO_CREDIT_ACTIVE_Sold_MEAN,0.0028842876093677357
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,0.0028292360805104787
PREV_PRODUCT_COMBINATION_CashXSellmiddle_MEAN,0.0028184190126205417
FLOORSMIN_MODE,0.002791049617578796
COMMONAREA_AVG,0.002744981486189509
COMMONAREA_MODE,0.002714205348342769
PREV_AMT_DOWN_PAYMENT_MIN,0.002696586829307271
CC_AMT_PAYMENT_CURRENT_MAX,0.0026944040178889187
PREV_NAME_PORTFOLIO_POS_MEAN,0.002693130671889135
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.0026372023477338755
CC_AMT_BALANCE_MEAN,0.0026274329653121617
PREV_CHANNEL_TYPE_Channelofcorporatesales_MEAN,0.0025759581688875994
CC_AMT_RECIVABLE_SUM,0.0025306567494136753
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,0.002519373818452354
